GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of two or more races: - Population of three races,Margin of Error; Population of two or more races: - Population of three races,Estimate; Population of two or more races: - Population of four or more races,Margin of Error; Population of two or more races: - Population of four or more races
0500000US01001,01001,"Autauga County, Alabama",55036,*****,54116,228,42159,330,10510,187,169,60,516,162,43,40,719,360,920,228,19,31,901,229,920,228,267,135,270,60,284,158,0,27,99,92,0,27,0,27
0500000US01003,01003,"Baldwin County, Alabama",203360,*****,200039,770,175961,707,19414,308,1668,414,1405,463,0,27,1591,581,3321,770,957,508,2364,564,3259,772,502,262,1068,366,668,290,57,70,964,508,46,48,16,23
0500000US01005,01005,"Barbour County, Alabama",26201,*****,25985,78,12200,228,12588,163,54,44,165,112,0,21,978,243,216,78,18,21,198,76,216,78,50,40,81,40,63,71,0,21,22,23,0,21,0,21
0500000US01007,01007,"Bibb County, Alabama",22580,*****,22392,108,17323,52,4979,103,82,47,0,21,0,21,8,16,188,108,0,21,188,108,188,108,101,97,87,58,0,21,0,21,0,21,0,21,0,21
0500000US01009,01009,"Blount County, Alabama",57667,*****,56681,223,55045,291,915,127,212,101,84,84,0,27,425,257,986,223,33,36,953,216,929,218,266,150,454,114,129,99,0,27,80,63,51,51,6,9
0500000US01011,01011,"Bullock County, Alabama",10478,*****,10409,148,2299,51,7925,190,110,122,73,66,0,18,2,4,69,148,0,18,69,148,69,148,0,18,69,148,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",20126,*****,19828,95,10547,38,9030,101,13,17,224,21,0,21,14,20,298,95,0,21,298,95,298,95,156,82,110,17,0,21,10,17,22,35,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",115527,*****,112896,489,86136,496,23735,499,413,280,1149,130,7,12,1456,454,2631,489,119,115,2512,471,2441,444,1252,399,793,111,181,114,54,41,161,126,108,121,82,104
0500000US01017,01017,"Chambers County, Alabama",33895,*****,33561,142,19552,172,13335,138,95,33,339,48,0,24,240,181,334,141,19,28,315,142,334,141,210,136,77,33,28,42,0,24,19,28,0,24,0,24
