Office,Parish,"Barack Obama, Joe Biden Democratic (DEM)","Jill Stein, Cheri Honkala Green (GRN)","Gary Johnson, James P. Gray Libertarian (LBT)","Mitt Romney, Paul Ryan Republican (REP)","Virgil Goode, James Clymer Constitution (OTH)","Ross Anderson, Luis Rodriguez Justice (OTH)","Jack Fellure, Toby Davis Prohibition (OTH)","Peta Lindsay, Yari Osorio Socialism and Liberation (OTH)","Jerry White, Phyllis Scherrer Socialist Equality (OTH)","James Harris, Alyson Kennedy Socialist Workers (OTH)","Sheila Tittle, Matthew Turner We The People (OTH)"
"Presidential Electors","Acadia","6560","101","144","19931","26","23","8","9","7","2","24"
"Presidential Electors","Allen","2617","52","73","6495","17","15","3","1","5","2","27"
"Presidential Electors","Ascension","16349","123","538","33856","53","44","20","11","9","10","60"
"Presidential Electors","Assumption","4754","34","70","6083","16","5","1","5","6","2","16"
"Presidential Electors","Avoyelles","6077","80","98","10670","22","18","10","4","7","6","40"
"Presidential Electors","Beauregard","2828","53","145","11112","27","17","2","2","3","7","29"
"Presidential Electors","Bienville","3490","21","25","3641","11","3","1","4","0","1","6"
"Presidential Electors","Bossier","12956","109","390","34988","55","9","10","8","5","4","28"
"Presidential Electors","Caddo","58042","258","763","52459","88","41","13","14","14","23","50"
"Presidential Electors","Calcasieu","28359","289","818","51850","161","52","27","21","16","16","117"
"Presidential Electors","Caldwell","1016","19","18","3640","8","2","1","1","2","2","7"
"Presidential Electors","Cameron","408","20","26","3260","5","2","1","0","1","1","20"
"Presidential Electors","Catahoula","1408","10","15","2744","5","2","2","1","0","1","5"
"Presidential Electors","Claiborne","3014","23","20","3649","5","6","2","0","1","3","9"
"Presidential Electors","Concordia","3833","18","40","5450","17","6","3","0","2","2","9"
"Presidential Electors","De Soto","5553","29","68","7353","15","11","2","3","2","3","12"
"Presidential Electors","East Baton Rouge","102656","620","1957","92292","244","122","51","66","33","31","99"
"Presidential Electors","East Carroll","2478","6","4","1508","0","3","0","3","0","4","2"
"Presidential Electors","East Feliciana","4648","30","62","5397","28","10","12","6","4","1","11"
"Presidential Electors","Evangeline","5330","72","93","10181","29","22","6","5","6","6","20"
"Presidential Electors","Franklin","2921","28","60","6294","12","4","1","6","3","4","3"
"Presidential Electors","Grant","1422","30","67","7082","16","10","6","5","4","3","22"
"Presidential Electors","Iberia","12132","100","158","20892","35","27","8","6","6","2","31"
"Presidential Electors","Iberville","9548","60","79","7271","13","14","4","4","6","6","9"
"Presidential Electors","Jackson","2305","22","37","5132","10","3","1","4","3","0","12"
"Presidential Electors","Jefferson","70384","681","2160","102536","172","110","45","38","25","27","165"
"Presidential Electors","Jefferson Davis","3484","58","97","10014","21","13","6","10","4","3","24"
"Presidential Electors","Lafayette","31768","367","1228","64992","109","60","17","27","9","14","51"
"Presidential Electors","Lafourche","9623","217","424","28592","50","36","21","13","11","15","73"
"Presidential Electors","Lasalle","764","20","25","5726","10","7","1","7","0","1","11"
"Presidential Electors","Lincoln","7956","45","187","10739","31","9","8","3","3","2","10"
"Presidential Electors","Livingston","7451","204","634","45513","90","44","14","20","4","9","79"
"Presidential Electors","Madison","3154","7","9","2000","5","4","1","2","2","1","2"
"Presidential Electors","Morehouse","5888","35","45","6591","15","11","7","8","2","3","9"
"Presidential Electors","Natchitoches","7942","44","135","9077","21","7","1","6","5","4","16"
"Presidential Electors","Orleans","126722","830","1859","28003","110","116","27","30","21","38","57"
"Presidential Electors","Ouachita","26645","155","526","40948","103","27","9","5","8","14","34"
"Presidential Electors","Plaquemines","3599","29","93","6471","9","8","10","7","2","2","9"
"Presidential Electors","Pointe Coupee","5436","46","55","6548","21","8","8","9","4","4","8"
"Presidential Electors","Rapides","20045","188","368","37193","73","48","15","17","10","11","51"
"Presidential Electors","Red River","2253","12","38","2483","5","5","4","2","1","2","2"
"Presidential Electors","Richland","3387","23","41","5846","15","6","3","3","2","1","2"
"Presidential Electors","Sabine","2194","45","46","7738","4","6","4","3","4","0","9"
"Presidential Electors","St. Bernard","5059","90","194","8501","30","25","5","10","2","7","32"
"Presidential Electors","St. Charles","8896","88","303","15937","42","18","5","7","4","1","32"
"Presidential Electors","St. Helena","3780","28","27","2529","13","4","2","1","1","0","9"
"Presidential Electors","St. James","7059","29","54","5209","12","9","2","6","3","2","10"
"Presidential Electors","St. John The Baptist","13179","71","164","7620","32","21","7","6","4","3","16"
"Presidential Electors","St. Landry","19668","136","200","21475","69","30","8","12","15","6","28"
"Presidential Electors","St. Martin","9422","91","162","15653","25","17","6","18","9","8","22"
"Presidential Electors","St. Mary","9450","75","144","13885","27","14","7","7","5","5","21"
"Presidential Electors","St. Tammany","25728","399","1637","84723","176","70","19","39","13","14","84"
"Presidential Electors","Tangipahoa","17722","166","408","31590","63","37","17","24","10","13","49"
"Presidential Electors","Tensas","1564","4","3","1230","2","5","0","2","0","0","2"
"Presidential Electors","Terrebonne","12074","175","413","29503","71","27","9","9","3","14","43"
"Presidential Electors","Union","3075","34","60","7561","13","5","4","4","2","0","8"
"Presidential Electors","Vermilion","5720","85","184","18910","20","20","5","8","4","6","25"
"Presidential Electors","Vernon","3173","75","121","12150","33","11","1","3","5","5","33"
"Presidential Electors","Washington","6466","84","90","11798","38","17","12","47","4","6","19"
"Presidential Electors","Webster","6802","54","71","11400","31","15","5","8","6","4","20"
"Presidential Electors","West Baton Rouge","5692","38","83","6922","11","10","2","2","2","0","12"
"Presidential Electors","West Carroll","853","11","23","3628","6","7","6","7","1","1","5"
"Presidential Electors","West Feliciana","2441","14","47","3257","4","7","0","1","0","1","5"
"Presidential Electors","Winn","1919","18","31","4541","8","3","0","2","0","0","12"
