GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
2164,Lake and Peninsula Borough,1631,0,0,0,1631,Alaska
1081,Lee,140247,101806,101806,0,38441,Alabama
1097,Mobile,412992,330310,326183,4127,82682,Alabama
1073,Jefferson,658466,593714,592559,1155,64752,Alabama
5103,Ouachita,26120,11401,0,11401,14719,Arkansas
8005,Arapahoe,572003,562992,562992,0,9011,Colorado
8031,Denver,600158,600158,600158,0,0,Colorado
11001,District of Columbia,601723,601723,601723,0,0,DistrictofColumbia
12083,Marion,331298,228502,202696,25806,102796,Florida
12086,Miami-Dade,2496435,2486340,2486340,0,10095,Florida
12069,Lake,297052,239858,228744,11114,57194,Florida
13121,Fulton,920581,910660,910660,0,9921,Georgia
13273,Terrell,9315,4466,0,4466,4849,Georgia
13051,Chatham,265128,253184,249982,3202,11944,Georgia
13089,DeKalb,691893,690073,690073,0,1820,Georgia
16019,Bonneville,104234,90734,90733,1,13500,Idaho
18003,Allen,355329,313117,313117,0,42212,Indiana
18053,Grant,70061,49804,0,49804,20257,Indiana
25021,Norfolk,670850,662529,662529,0,8321,Massachusetts
25025,Suffolk,722023,721488,721488,0,535,Massachusetts
24005,Baltimore,805029,752430,752389,41,52599,Maryland
24510,Baltimore city,620961,620961,620961,0,0,Maryland
26163,Wayne,1820584,1807920,1807920,0,12664,Michigan
37063,Durham,267587,252528,252528,0,15059,NorthCarolina
37077,Granville,59916,27112,963,26149,32804,NorthCarolina
34019,Hunterdon,128349,64727,58491,6236,63622,NewJersey
34021,Mercer,366513,353749,353749,0,12764,NewJersey
34005,Burlington,448734,418834,383705,35129,29900,NewJersey
34007,Camden,513657,505349,505275,74,8308,NewJersey
34017,Hudson,634266,634266,634266,0,0,NewJersey
35035,Otero,63797,44917,0,44917,18880,NewMexico
39085,Lake,230041,215021,215021,0,15020,Ohio
39155,Trumbull,210312,152953,152898,55,57359,Ohio
39035,Cuyahoga,1280122,1272675,1272675,0,7447,Ohio
39055,Geauga,93389,33649,20818,12831,59740,Ohio
